tokens,label
"This sweet <e1> dress </e1> is made with a <e2> blend </e2> of cotton and silk , and the crochet flower necklace is the perfect accessory .",Other
"<e1> Suicide </e1> is one of the leading causes of <e2> death </e2> among pre-adolescents and teens , and victims of bullying are at an increased risk for committing suicide .",Cause-Effect
"This <e1> article </e1> gives details on 2004 in <e2> music </e2> in the United Kingdom , including the official charts from that year .",Message-Topic
We have therefore taken the initiative to convene the first international open <e1> meeting </e1> dedicated solely to <e2> rural history </e2> .,Message-Topic
The <e1> timer </e1> of the <e2> device </e2> automatically eliminates wasted standby power consumption by automatically turn off electronics plugged into the auto off outlets .,Component-Whole
Bob Parks made a similar <e2> offer </e2> in a <e1> phone call </e1> made earlier this week .,Message-Topic
He had chest pains and <e2> headaches </e2> from <e1> mold </e1> in the bedrooms .,Cause-Effect
The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the <e1> country's </e1> founding <e2> father </e2> .,Product-Producer
It describes a method for loading a horizontal <e1> stack </e1> of containers into a <e2> carton </e2> .,Entity-Destination
The Foundation decided to repurpose the building in order to reduce wear and tear on the <e1> plumbing </e1> in the <e2> manor house </e2> by redirecting visitors during restoration projects and beyond .,Component-Whole
The technology is available to produce and transmit <e1> electricity </e1> economically from OTEC <e2> systems </e2> .,Entity-Origin
The Medicare buy-in <e1> plan </e1> ran into Senate <e2> resistance </e2> .,Other
"The <e2> provinces </e2> are divided into <e1> counties </e1> (shahrestan) , and subdivided into districts (bakhsh) and sub-districts (dehestan) .",Component-Whole
Financial <e1> stress </e1> is one of the main causes of <e2> divorce </e2> .,Cause-Effect
<e2> Newspapers </e2> swap content via widgets with the help of the newsgator <e1> service </e1> .,Instrument-Agency
The <e1> women </e1> that caused the <e2> accident </e2> was on the cell phone and ran thru the intersection without pausing on the median .,Cause-Effect
The <e1> transmitter </e1> was discovered inside a bed settee <e2> suite </e2> on which he had been sitting .,Content-Container
The Kerala backwaters are a <e2> chain </e2> of brackish <e1> lagoons </e1> and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India .,Member-Collection
"A St . Paul College <e1> student </e1> was released from <e2> jail </e2> Wednesday night , after his arrest Tuesday in the alleged rape of another student on campus .",Entity-Origin
<e2> Calluses </e2> are caused by improperly fitting shoes or by a <e1> skin abnormality </e1> .,Cause-Effect
<e2> Adults </e2> use <e1> drugs </e1> for this purpose .,Instrument-Agency
The <e2> councilor </e2> proposed assessing infinitival complements through <e1> elicitation </e1> .,Instrument-Agency
"As in the popular movie Deep Impact , the action of the Perseid <e2> meteor shower </e2> is caused by a <e1> comet </e1> , in this case periodic comet Swift-Tuttle .",Cause-Effect
The following information appeared in the <e1> notes </e1> to consolidated financial <e2> statements </e2> of some corporate annual reports .,Other
HipHop appropriates the symbols of a consumer society: oversized <e1> diamond </e1> <e2> colliers </e2> are worn .,Other
The <e2> radiation </e2> from the atomic <e1> bomb explosion </e1> is a typical acute radiation .,Cause-Effect
The ride-on <e2> boat </e2> <e1> tiller </e1> was developed by engineers Arnold S . Juliano and Dr . Eulito U . Bautista .,Component-Whole
A neoplastic <e2> recurrence </e2> arose from an extensive <e1> radiation </e1> induced ulceration .,Cause-Effect
He has a tattoo on his right arm and <e2> scars </e2> from <e1> stitches </e1> on his right elbow .,Cause-Effect
"Whether your home includes a charm of finches , a sute of bloodhounds , or a <e2> knob </e2> of <e1> toads </e1> , I think it's important to keep the numbers within reason .",Member-Collection
"Furthermore , these INGO practitioners constructed a <e1> discourse </e1> around <e2> participation </e2> which distorted the real significance of participation .",Message-Topic
Kelvin bought a <e1> silver </e1> <e2> ring </e2> which he was so happy with and he keeps wearing it now even though its abit too big haha .,Other
Scientists are in the midst of an ongoing <e1> debate </e1> about the relative <e2> value </e2> of openness and collaboration in their profession .,Message-Topic
This cut blue and white striped cotton <e1> dress </e1> with red bands on the bodice was in a <e2> trunk </e2> of vintage Barbie clothing .,Content-Container
My major <e1> disagreement </e1> with Lyons concerns the <e2> causal part </e2> of his theory .,Other
Both his <e1> feet </e1> have been moving into the <e2> ball </e2> .,Entity-Destination
"The scissors were in a small plastic soap container , next to a bar of soap , and the <e1> box cutters </e1> were in a <e2> box </e2> next to a bottle of after-shave lotion .",Content-Container
"A great <e2> wing </e2> of fluorite <e1> dragons </e1> , the greatest concentration of the rather solitary dragons ever known , joined the desperate battle with the blues and silvers against Chaos .",Member-Collection
"As a control , <e1> cowpea </e1> was sealed in <e2> double bags </e2> without fumigant .",Entity-Destination
The infectious bacterial disease <e1> brucellosis </e1> has been found in a beef <e2> cow </e2> in eastern Idaho .,Other
"As the Anglo-Norman force sustained but little loss in this battle , their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour , and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights , completed the havoc and <e1> rout </e1> of the undisciplined Gaelic <e2> hosts </e2> .",Other
"The first incarnation of this series was set in the 1940s , during World War II , when the <e1> princess </e1> left her native paradise <e2> island </e2> (where Amazon women had lived for centuries) to help the U .S . foil the Nazis .",Entity-Origin
Cieply's <e1> story </e1> makes a compelling <e2> point </e2> about modern-day studio economics .,Message-Topic
We poured the <e1> milk </e1> into the <e2> pumpkin mixture </e2> .,Entity-Destination
Lawyers in Detroit also worked overtime as several <e1> lawsuits </e1> ensued from angry and injured <e2> fans </e2> .,Entity-Origin
The continuing Nigerian <e2> outbreak </e2> is the biggest ever caused by the <e1> vaccine </e1> .,Cause-Effect
Our mercenary Army has now degenerated into a Godless <e2> cabal </e2> of mindless <e1> killers </e1> not unlike the Soviets that were butchering civilians in Afghanistan (exactly as sadistically as we have) .,Member-Collection
The <e2> fire </e2> inside WTC was caused by exploding <e1> fuel </e1> .,Cause-Effect
The <e1> epithelium </e1> from the knockout mouse bladder is migrating into the transplanted <e2> matrix </e2> .,Entity-Destination
The <e1> staff </e1> was removed from his <e2> position </e2> .,Entity-Origin
The <e2> suffering </e2> caused by the <e1> terrorists </e1> is the real torture .,Cause-Effect
This <e2> love </e2> of nature's gift has been reflected in <e1> artworks </e1> dating back more than a thousand years .,Message-Topic
The <e2> court </e2> decided the objection by making the instalment <e1> order </e1> as sought .,Product-Producer
"In a poetic twist , the <e2> tsunami </e2> triggered by the rock <e1> band </e1> forced many American jazz and blues singers to seek work in the United Kingdom , which is where Anderson found a receptive audience in 1965 .",Cause-Effect
<e2> Leakage </e2> and fire caused due to <e1> corrosion </e1> of bypass piping for recirculation gas at a fuel oil desulphurization unit .,Cause-Effect
A team of students from Virginia Tech University have created a vehicle that allows vision impaired <e2> drivers </e2> to take control of the <e1> wheel </e1> .,Instrument-Agency
BMW's iDrive 4 .0 brings in a <e2> horde </e2> of new <e1> features </e1> .,Member-Collection
The metal <e1> ball </e1> makes a ding ding ding <e2> noise </e2> when it swings back and hits the metal body of the lamp .,Cause-Effect
It consists of an <e2> ensemble </e2> of <e1> ladies </e1> who are highly qualified to play various Arabic musical instruments .,Member-Collection
It underscores the need for continued surveillance of nicotine delivery in <e1> products </e1> created by an unregulated <e2> industry </e2> .,Product-Producer
"Unlike other fish , grunion come out of the water completely to lay their eggs in the wet <e1> sand </e1> of the <e2> beach </e2> .",Other
A large <e1> marble </e1> was dropped into the <e2> bowl </e2> .,Entity-Destination
Historical view of the <e2> damage </e2> caused by the 1693 Catania <e1> earthquake </e1> and the reconstruction activities .,Cause-Effect
"AI requested that the perpetrators be prosecuted to the fullest extent of the law , that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the <e2> suffering </e2> caused by the responsible police <e1> officers </e1> .",Cause-Effect
The <e1> findings </e1> have been published in a special <e2> section </e2> of the academic journal Archives of Sexual Behavior .,Other
An Amtrak <e1> passenger </e1> who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the <e2> train </e2> and is being held in Colorado .,Entity-Origin
The <e1> introduction </e1> in the <e2> book </e2> is a summary of what is in the text .,Component-Whole
The second <e1> simulation </e1> was started from the uncomplexed x-ray <e2> structure </e2> after insertion of the ligand into the binding site .,Entity-Origin
This <e2> user </e2> plays games on a portable <e1> console </e1> .,Instrument-Agency
The ambitious Eurasia <e1> exhibition </e1> arose from an <e2> idea </e2> by Achille Bonito Oliva .,Entity-Origin
The <e2> driver </e2> of the cement truck cleaned the loading chute on his truck with a truck-mounted water <e1> hose </e1> and began to pull away .,Instrument-Agency
The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the <e2> recession </e2> triggered by the 1929 Wall Street <e1> crash </e1> .,Cause-Effect
In the corner there are several gate captains and a <e2> legion </e2> of Wu <e1> crossbowmen </e1> .,Member-Collection
"Once they grow there , the <e2> swelling </e2> and inflammation caused by the <e1> infection </e1> closes off the sac , causing it not to shed bacteria , and protecting the bacteria inside from antibiotics and your body's own immune cells .",Cause-Effect
"Guitars are played acoustically; the <e2> tone </e2> is produced by the <e1> vibration </e1> of the strings which is amplified by the body of the guitar , which acts as a large hollow resonating chamber , or they may rely on an amplifier that can electronically manipulate tone .",Cause-Effect
"Flowers are reborn from the soil and the climate begins to warm , all set to a <e1> score </e1> improvised by an <e2> orchestra </e2> of birds .",Other
He posted the <e1> answers </e1> to the <e2> website </e2> .,Entity-Destination
"Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank , though the <e2> threat </e2> caused by the <e1> spell </e1> is minimal .",Cause-Effect
A <e2> programmer </e2> uses a high level <e1> language </e1> to implement its algorithms .,Instrument-Agency
"The beautiful hydrothermal features in the park (geysers , hot springs , mud pots , etc .) , the uplift and subsidence , and many of the <e2> earthquakes </e2> are caused by the <e1> movements </e1> of hydrothermal and/or magmatic fluids .",Cause-Effect
"Flowers are nice , but don't last very long and the <e1> fruit </e1> in a fruit <e2> basket </e2> often goes bad .",Content-Container
He decided to pad the <e1> heel </e1> of <e2> shoes </e2> with a shock absorbing insole or heel pad .,Component-Whole
"From the Scots (Lingle) and French (Ligneul , Lignoul) , comes a <e2> shoemaker's </e2> sewing <e1> thread </e1> , waxed and bristled (See Waxed End) .",Instrument-Agency
One <e1> tablet </e1> per quart was dropped into a <e2> canteen </e2> and made the water safe to drink .,Entity-Destination
"The tiny <e1> image </e1> of the Renaissance master is hidden in a <e2> carafe </e2> of wine in his 1597 oil painting Bacchus , one of his most acclaimed works .",Content-Container
"Then I swept up the dust , which looked like sawdust , and put it in a <e1> plastic container </e1> , which was in a <e2> cabinet </e2> under the granite counter top .",Content-Container
In the former method the <e1> acetone </e1> was distilled from an allraline <e2> solution </e2> after the excess oxidant had been destroyed with sodium .,Entity-Origin
"In this comprehensive <e1> guide </e1> , over 850 <e2> roses </e2> are described , illustrated , and arranged by group .",Message-Topic
<e2> Chestnut </e2> <e1> flour </e1> was more common than wheat flour in the Italian Alps a century ago .,Entity-Origin
For us the term <e2> artists' </e2> <e1> book </e1> simply means a book made by an artist; a book made as a work of art rather than as a literary artifact .,Product-Producer
My parents bought her a <e1> silver </e1> <e2> necklace </e2> almost identical to the one pictured .,Other
Forward <e1> motion </e1> of the vehicle through the air caused a <e2> suction </e2> on the road draft tube .,Cause-Effect
"Paul Friedrich guides us through a <e1> babel </e1> of <e2> words </e2> , and worlds of the imagination ranging from his translations from five languages(notably the Russian of his literary studies) to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways , a Vermont farm , father and child .",Other
The picture below shows a view chapel and west range of the inner <e1> courtyard </e1> of the <e2> castle </e2> .,Component-Whole
I was attacked by a <e2> flock </e2> of <e1> pigeons </e1> today .,Member-Collection
That <e1> decision </e1> was also the subject of an unsuccessful <e2> legal challenge </e2> .,Other
The exit temperature of an effluent <e1> stream </e1> from the low temperature steam reforming <e2> reactor </e2> is not higher than 600 C .,Entity-Origin
Individual <e1> investors </e1> moved into the <e2> property </e2> .,Entity-Destination
One of the trickiest <e1> questions </e1> to answer in an interview relates to <e2> salary </e2> .,Message-Topic
This <e2> tradition </e2> has been narrated in prophet's early <e1> biographies </e1> .,Message-Topic
A <e2> thief </e2> who tried to steal the truck broke the igenition with <e1> screwdriver </e1> .,Instrument-Agency
"After the Marian reforms the Legion was notionally a <e2> unit </e2> of heavy <e1> infantrymen </e1> armed with just sword and pilum , but even so it was normally fielded with attached auxiliary skirmishers and missile troops , and incorporated a small cavalry unit .",Member-Collection
The prosecutors carried <e1> guns </e1> into the <e2> court room </e2> .,Entity-Destination
"The <e1> malfunctions </e1> on Monday caused <e2> delays </e2> for patrons waiting to check out or renew books at the branches , and impeded access to personal accounts that allow users to renew or hold books online .",Cause-Effect
<e1> Chemical weapons </e1> have been dropped into the <e2> lake </e2> .,Entity-Destination
Many other <e1> dwarves </e1> also hailed from this infamous <e2> clan </e2> .,Entity-Origin
The <e1> nose </e1> of a <e2> bloodhound </e2> is so good that evidence found by a bloodhound will hold up in matters involving the United States Supreme Court .,Component-Whole
Global digital music sales grow as the music <e2> industry </e2> develops new business <e1> models </e1> .,Product-Producer
"The <e1> devices </e1> were manufactured at the <e2> factory </e2> in Beaverton well into the 1980s , when production was shifted elsewhere and portions of the factory sold .",Product-Producer
"An expensive uniform and a strict ballot rendered it somewhat too exclusive in its character , but in the end it answered its purpose by becoming practically a <e2> muster </e2> of the National <e1> leaders </e1> of the present and the future .",Member-Collection
The <e1> train ride </e1> from <e2> station </e2> to station is approximate 30 minutes .,Other
The archaeological site yields <e1> relics </e1> from long-forgotten <e2> culture </e2> .,Entity-Origin
A <e1> maze </e1> of interlocking <e2> jurisdictions </e2> and levels of government confronts average citizens in trying to solve even the simplest of problems .,Other
"Water <e1> damage </e1> from roof leaks , plumbing leaks or flooding lead to the <e2> growth </e2> of molds .",Cause-Effect
"Warm weather is here , and with it comes the <e1> scourge </e1> of <e2> mosquitoes </e2> .",Other
"The <e1> formation </e1> of struvite <e2> stones </e2> is associated with the presence of urea-splitting bacteria , most commonly Proteus mirabilis (but also Klebsiella , Serratia , Providencia species) .",Other
"Our army was successfully engaged during the day with strong rearguards of all arms on the Petit Morin River , thereby materially assisting the progress of the French armies on our right and left , against whom the <e1> enemy </e1> was making his greatest <e2> efforts </e2> .",Other
"So when William did cross the Boyne on July 1st 1690 , he had an army consisting of the <e2> riffraff </e2> of Europe's <e1> mercenaries </e1> .",Member-Collection
The overall <e1> geometry </e1> of the heart was extracted from the intensity <e2> data </e2> .,Entity-Origin
The <e2> discomfort </e2> from the <e1> injury </e1> was now precluding him from his occupation which involved prolonged procedures in the standing position .,Cause-Effect
"Flames of purple , pink , yellow and blue dance in the air as a <e2> coven </e2> of <e1> sorcerers </e1> call forth energies from within the Empyrean .",Member-Collection
"Out of the early morning haze , a <e2> convoy </e2> of articulated <e1> lorries </e1> pulls into the Gashouder square .",Member-Collection
This book has transported <e1> readers </e1> into <e2> ancient times </e2> .,Entity-Destination
"We always try to maintain the best <e1> environment </e1> for <e2> programmers </e2> , starting with good salary and conducive working environment .",Other
"Indeed , a green or black basalt heart <e1> scarab </e1> was found put inside the <e2> body </e2> in its place .",Content-Container
The first <e1> motorcycle </e1> was manufactured in a small wood <e2> building </e2> with only one room .,Entity-Origin
"The <e1> water </e1> pushed to the coast resulted in <e2> tides </e2> as much as three feet above normal , with waves of 5-10 feet atop these tides .",Cause-Effect
The <e1> chapters </e1> in this book investigate <e2> issues </e2> and communities .,Message-Topic
He rescheduled the birthday <e1> party </e1> to the <e2> next day </e2> .,Entity-Destination
The <e2> bacterial aerosol </e2> was generated from an up-draft <e1> nebulizer </e1> .,Product-Producer
"<e1> People </e1> have travelled into <e2> space </e2> , but not the deep ocean .",Entity-Destination
"For those of you who are unsure what Afrikaans is , it is a language which originated from the Dutch which were the first settlers in South Africa and the unique <e1> language </e1> was evolved from other <e2> settlers </e2> from Malaya , Indonesia , Madagascar and West Africa .",Entity-Origin
"<e2> Beaver </e2> <e1> dams </e1> are created as a protection against predators , such as coyotes , wolves and bears , and to provide easy access to food during winter .",Product-Producer
"So , the theme of the <e1> play </e1> has to do with <e2> religion </e2> .",Message-Topic
There has been intense <e1> debate </e1> over the circles' <e2> origins </e2> .,Message-Topic
I have recently developed creases in my <e2> ear </e2> <e1> lobes </e1> .,Component-Whole
"Manufacturing extra neutral <e2> alcohol </e2> which is the basic ingredient used for making <e1> liquor </e1> , the commodity was largely used by companies making Indian Made Foreign Liquor (IMFL) .",Entity-Origin
Initially the <e2> user </e2> calibrates the microscope with a fluorescence lifetime <e1> standard </e1> positioned at the sample plane .,Instrument-Agency
The <e2> province </e2> comprises the southeastern <e1> part </e1> of Panay Island with island-province of Guimaras just across its coast .,Component-Whole
"The <e1> charge </e1> is the source of an electric <e2> field </e2> , which carries energy-the electrostatic self-energy .",Cause-Effect
The <e2> tardiness </e2> however has been caused by the <e1> arrival </e1> of my old man; who in true Bloodworth fashion has had me walking everywhere .,Cause-Effect
The <e1> key </e1> was in a <e2> chest </e2> .,Content-Container
The <e1> residue </e1> was distilled from an Arbuzov <e2> flask </e2> .,Entity-Origin
"As the Gondorians moved forward the evil force started to withdraw , unleashing a <e2> rain </e2> of deadly <e1> arrows </e1> into the heavily armoured Gondorians .",Member-Collection
It is a medieval Latin <e1> manuscript </e1> relating the early <e2> history </e2> of the Isle of Man .,Message-Topic
The river had now turned into full <e2> flood </e2> after the <e1> deluge </e1> of rain a few days ago .,Cause-Effect
"He stopped rowing when the boat was opposite to the paddle wheel of the steamer , and the <e2> steamer </e2> stopped her <e1> engine </e1> at the same time .",Component-Whole
This is the <e2> umbrella </e2> that peels the potatoes with a <e1> pencil </e1> and makes a pink ink with the peelings stood up .,Instrument-Agency
"This American-style <e2> wheat </e2> <e1> ale </e1> is a light , unfiltered brew with a citrus aroma andflavor imparted by a late addition of lemon grass .",Entity-Origin
The <e1> car </e1> left the <e2> plant </e2> .,Entity-Origin
Our experience extends to 15 years continued promotion of this <e2> archipelago </e2> of nine <e1> islands </e1> .,Component-Whole
"To separate the solids at the end of the experiment , the <e1> clay </e1> was contained in a semi- permeable <e2> membrane tubing </e2> .",Content-Container
This machine is blowing <e1> sand </e1> into <e2> molds </e2> .,Entity-Destination
The <e1> cultivation </e1> consisted of plowing the crop with a double-shovel <e2> plow </e2> .,Other
The final <e1> chapter </e1> offers a <e2> theological survey </e2> of the use of the formula .,Message-Topic
She mentioned the <e2> scandal </e2> caused by a BBC <e1> documentary </e1> on the treatment of children in a special-needs home and asked how the state had responded to these .,Cause-Effect
"Isolated fractures of the <e1> shaft </e1> of the <e2> ulna </e2> , without other fractures , often result when the forearm is raised to fend off a blow .",Component-Whole
We have placed the <e1> candidates </e1> into <e2> roles </e2> .,Other
Frequent agitations throw academic <e1> life </e1> into <e2> disarray </e2> .,Other
Still other examples of the <e2> potter's </e2> <e1> ceramics </e1> are clad in slinky assortments of tassels and beads .,Product-Producer
"The <e1> nasal cavity </e1> of <e2> birds </e2> contains turbinates (Bang 1971) , cartilaginous structures that are thought to have as one of their functions water recovery from air .",Component-Whole
"Thus , in simple words , a <e1> tendon </e1> attaches a <e2> muscle </e2> to a bone .",Other
"<e1> Positions </e1> were denoted by <e2> black dots </e2> along the tracks , the adjacent numbers indicating the day of the month .",Other
The World Health Organization(WHO) found that the <e2> radiation </e2> release from the Chernobyl <e1> accident </e1> was 200 times that of the Hiroshima and Nagasaki .,Cause-Effect
My dog ate a <e2> cellophane bag </e2> full of <e1> dog treats </e1> on Tuesday .,Content-Container
The <e2> owl </e2> held the mouse in its <e1> claw </e1> .,Component-Whole
This is how grain was delivered to the wooden grain bins and <e1> hay </e1> was put inside the upper part of the rock <e2> barn </e2> .,Entity-Destination
Police foiled an attempt to kill an <e2> artist </e2> who drew a <e1> cartoon </e1> depicting the Prophet Muhammad that sparked outrage in the Muslim world .,Product-Producer
"When Woody Harrelson received a copy of the screenplay for Zombieland last year , he stuffed the <e1> paper </e1> into his duffel <e2> bag </e2> of unread scripts and promptly forgot about it .",Entity-Destination
"The city is a <e2> treasure trove </e2> of terrific <e1> libraries </e1> , interesting museums , and wonderful Victorian architecture complemented by the incomparable work of Scotland's greatest architect , Charles Rennie Mackintosh .",Member-Collection
We leave the <e1> bail </e1> of the <e2> reel </e2> open and place your the rod in a double mounted set up as shown on the facing page .,Component-Whole
The Mapungubwe Collection at the University of Pretoria features remarkable <e1> works </e1> from the largely forgotten <e2> kingdom </e2> of Mapungubwe that flourished near the confluence of the Limpopo and Shashe Rivers between 1000 and 1300 AD .,Entity-Origin
"Also , in the midst of the <e2> confusion </e2> caused by the <e1> coup </e1> , the issuing of militant posters was a way for artists and organizations to declare their active engagement against the rebellion .",Cause-Effect
The title is taken from an 1813 <e1> book </e1> by a Virginia <e2> planter </e2> and senator named John Taylor .,Product-Producer
"In the same way , a <e2> society </e2> is built up of many <e1> individuals </e1> .",Member-Collection
The <e2> scientist </e2> approached the big cat with a <e1> notepad </e1> and a pencil in her hands .,Instrument-Agency
The bottom <e1> photo </e1> is from the New York public <e2> library </e2> .,Entity-Origin
The <e1> accident </e1> caused a major traffic <e2> snarl </e2> on the arterial road .,Cause-Effect
Two plane crash survivors have paid a special visit to the Hutt Hospital <e1> surgeon </e1> whose <e2> team </e2> helped to re-build their shattered faces eight years ago .,Other
The <e1> dress </e1> was in a <e2> trunk </e2> dated summer of 1938 along with several other dresses from this same period .,Content-Container
"The various forms of idealistic , materialistic and agnostic philosophies are subject to the <e2> tension </e2> caused by the indicated <e1> situation </e1> .",Cause-Effect
"From him , Cain learns that Alexis had survived his suicide and became the <e1> leader </e1> of that <e2> organization </e2> , renaming it Delilah .",Member-Collection
"James Hagler , Venice's <e2> director </e2> of historical resources , has completed a picture <e1> book </e1> of the area's buildings .",Product-Producer
A program has fetched <e1> data </e1> into host variable <e2> arrays </e2> .,Entity-Destination
"Recently , only insignificant <e1> things </e1> arrive to <e2> theatres </e2> .",Entity-Destination
Tissue damage and <e1> electrode </e1> <e2> corrosion </e2> are both associatcd with high charge density stimulation .,Other
Two of Walters's fingers are inside the <e2> koala </e2> 's <e1> pouch </e1> .,Component-Whole
"In a former residence , your writer had an atrium containing a <e2> duel </e2> of <e1> dovesmoles </e1> numbering 22 .",Member-Collection
"To stand up to the wind , <e2> umbrella </e2> <e1> frames </e1> are strong yet flexible .",Component-Whole
<e2> Contractions </e2> of the diaphragm are caused by stimulation of the vagus nerve either by the brain or by <e1> irritation </e1> anywhere along the length of the nerve .,Cause-Effect
A 15 minute <e1> plane </e1> drive from <e2> runway </e2> to terminal is uncommon .,Entity-Origin
The geometric <e1> skeleton </e1> is derived from a static <e2> object </e2> using an implicit 'directions' method .,Entity-Origin
The <e2> filmmakers </e2> dug a large <e1> hole </e1> in the ground for the scene where the Narnians cause the pillars supporting the growth near Aslan's How to collapse on the Telmarines .,Product-Producer
It is a monthly <e1> report </e1> providing <e2> opinion </e2> and advice on current United States government contract issues .,Message-Topic
"<e2> Governments </e2> , frightened of losing votes , resolved the crisis through <e1> subsidization </e1> .",Instrument-Agency
"For Christmas , Daniel gave Kelly a Tiffany bracelet , and for Valentine's Day he bought a <e1> diamond </e1> <e2> necklace </e2> .",Other
"We also passed a <e2> wake </e2> of turkey <e1> buzzards </e1> , and I was again glad to not be driving , because my car and I both have shaky nerves still , from the Great Turkey Buzzard Incident of '08 .",Member-Collection
Plantar <e2> warts </e2> are caused by a <e1> virus </e1> that infects the outer layer of skin on the soles of the feet .,Cause-Effect
The <e1> sensor </e1> was manufactured in a cost effective thin film <e2> process </e2> .,Other
"The putative left , we see , is just as eager as the nominal right to brand crime and violence with any hint of political motivation as terrorism , and therefore to remove it from the ordinary processes of criminal law and sanction , which are already quite draconian in these United States , and to animate parallel systems of harsher surveillance and punishment for the political <e1> compeers </e1> of such <e2> criminals </e2> .",Other
"The <e2> list </e2> of the 10 Most Beautiful Women posted on the official Web site of the 2009 Australian Open was filled with sleek , thin <e1> images </e1> .",Component-Whole
The <e1> rope </e1> of the <e2> prayer-bell </e2> was there in a perfect state and coiled up .,Component-Whole
One man pours on a liquid while the other <e2> man </e2> stirs the mixture with a wooden <e1> paddle </e1> or spatula .,Instrument-Agency
"Besides , the Chinese case also challenges some ideas of RSS theory , including the concept of <e2> alliance </e2> of different social <e1> classes </e1> and the role of working class in democratization .",Member-Collection
"As the US and Colombian military put pressure on drug traffickers , <e1> operations </e1> are migrating into <e2> nearby countries </e2> .",Entity-Destination
A conical <e1> cover </e1> preserved in a <e2> ewer </e2> in Athens accords extremely well with the form of these vessels .,Content-Container
The front of the boring <e2> machine </e2> contains tungsten-tipped <e1> picks </e1> that workers guide with the use of laser projections on video screens .,Component-Whole
They incorporated the <e1> immigrant flows </e1> into <e2> microsimulation </e2> .,Entity-Destination
I have always felt so relieved that Roy and the <e1> boys </e1> had left the <e2> creek </e2> .,Entity-Origin
The first <e1> report </e1> analyses the adaptation <e2> strategies </e2> of the EU member states .,Message-Topic
Cook's discoveries prepared the way for establishment of a new penal <e1> colony </e1> by the colonial <e2> power </e2> .,Product-Producer
This process passes on a health <e1> gene </e1> to the next <e2> generation </e2> .,Other
